person_id,姓名,性别,年龄,年龄段,家庭状态,职业大类,occupation_code,具体职位,home_place_id,work_place_id,school_place_id,sociability,routine_preference,spontaneity,travel_tolerance,nightlife_preference,activity_budget,family_orientation,warmth,directness,patience,communication_style,employer_id,personality_summary
P00001,王语晨,女,39,35-39,无需要照顾的孩子,上班族,office_worker,销售经理,PL_W67091562,PL_W660842583,,0.12,0.65,0.53,0.29,0.35,0.26,0.11,0.36,0.72,0.25,直接简洁,ORG_UNRES_W660842583,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式直接简洁，生活取向相对均衡。
P00002,刘博辰,男,30,30-34,有未成年孩子,上班族,office_worker,会计,PL_W943428729,PL_W31451792,PL_W220406701,0.27,0.67,0.30,0.45,0.36,0.70,0.79,0.11,0.63,0.63,克制务实,ORG_N10537982829,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P00003,李文源,男,24,18-24,无需要照顾的孩子,大学生,university_student,硕士研究生,PL_W662726398,PL_N7797331451,PL_N7797331451,0.69,0.27,0.48,0.68,0.83,0.59,0.63,0.47,0.55,0.72,沉稳耐心,ORG_N7797331451,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，喜欢晚间外出，处理分歧时较有耐心。
P00004,张源辰,女,37,35-39,有未成年孩子,服务业者,service_worker,客服,PL_W661275865,PL_N11281663890,PL_N7725077141,0.49,0.70,0.46,0.43,0.44,0.41,0.39,0.81,0.38,0.44,温和体贴,ORG_N11281663890,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00005,董诺清,女,33,30-34,有未成年孩子,服务业者,service_worker,收银员,PL_W770873612,PL_W25656474,PL_W186575881,0.28,0.68,0.34,0.62,0.35,0.54,0.54,0.41,0.15,0.37,克制务实,ORG_W25656474,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00006,吴羽乐,男,34,30-34,有未成年孩子,上班族,office_worker,数据分析师,PL_W659831040,PL_W444340651,PL_W42149102,0.50,0.76,0.28,0.75,0.44,0.71,0.85,0.18,0.70,0.23,直接简洁,ORG_W444340651,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对较远的出行接受度较高。交流方式直接简洁，重视家庭联系。
P00007,杨乐瑶,女,38,35-39,有未成年孩子,上班族,office_worker,采购经理,PL_W661635899,PL_W662257868,PL_W71410512,0.81,0.82,0.20,0.57,0.64,0.46,0.98,0.34,0.53,0.49,健谈外向,ORG_UNRES_W662257868,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式健谈外向，重视家庭联系。
P00008,程可辰,女,25,25-29,无需要照顾的孩子,自由业者,freelancer,自由销售,PL_W663309489,PL_N5462911230,,0.82,0.16,0.74,0.73,0.53,0.64,0.69,0.29,0.30,0.22,健谈外向,ORG_N5462911230,性格较为外向，通常愿意主动联系熟人并参加共同活动。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对较远的出行接受度较高。交流方式健谈外向，重视家庭联系。
P00009,陈怡婉,女,26,25-29,无需要照顾的孩子,自由业者,freelancer,咨询顾问,PL_W31617621,PL_W31617621,,0.88,0.36,0.51,0.88,0.52,0.79,0.13,0.58,0.41,0.67,健谈外向,ORG_UNRES_W31617621,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式健谈外向，生活取向相对均衡。
P00010,黄佑博,男,29,25-29,有未成年孩子,服务业者,service_worker,厨师,PL_W661957666,PL_N1859441255,PL_W70509378,0.90,0.77,0.19,0.66,0.75,0.41,0.81,0.76,0.60,0.49,温和体贴,ORG_N1859441255,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式温和体贴，重视家庭联系，喜欢晚间外出。
P00011,王嫣思,女,30,30-34,有未成年孩子,服务业者,service_worker,保安,PL_W31373088,PL_W61429677,PL_N534020733,0.58,0.42,0.64,0.72,0.55,0.66,0.79,0.50,0.35,0.86,沉稳耐心,ORG_W61429677,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式沉稳耐心，重视家庭联系，处理分歧时较有耐心。
P00012,刘清欣,女,25,25-29,无需要照顾的孩子,上班族,office_worker,客户专员,PL_W660079717,PL_W55029513,,0.52,0.84,0.15,0.55,0.55,0.47,0.35,0.52,0.21,0.38,克制务实,ORG_N3440216089,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00013,李星晨,女,37,35-39,有未成年孩子,体力劳动者,manual_worker,建筑工人,PL_W659446956,PL_W661065097,PL_W121969533,0.49,0.56,0.61,0.51,0.58,0.67,0.85,0.81,0.79,0.78,坦率热情,ORG_UNRES_W661065097,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式坦率热情，重视家庭联系，处理分歧时较有耐心。
P00014,孙清然,男,25,25-29,无需要照顾的孩子,上班族,office_worker,会计,PL_W660358110,PL_W60185753,,0.47,0.25,0.56,0.56,0.58,0.60,0.65,0.95,0.62,0.30,温和体贴,ORG_N7658272777,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
